Model,Time,PromptTokens,CompletionTokens,TotalTokens,EstimatedCost,Attempts,CodeTime,Result,source_file
gpt-oss-120b,109.9,157759,27971,185730,0.04,10,101.05,Failure,direct-question-06.md
gpt-oss-20b,72.59,73858,9553,83411,0.006,5,48.82,Success,direct-question-06.md
Qwen3-Coder-480B,325.59,160168,20480,180648,0.361,10,97.75,Failure,direct-question-06.md
coder-large,281.77,168442,24944,193386,0.104,10,354.93,Failure,direct-question-06.md
claude-sonnet-4,100.51,35564,5752,41316,0.193,2,24.93,Success,direct-question-06.md
gemini-2.5-flash,18.3,32952,5546,38498,0.024,2,75.44,Success,direct-question-06.md
deepseek-chat-v3-0324,93.62,45554,3906,49460,0.016,3,18.47,Success,direct-question-06.md
llama-3.1-8b,43.15,141692,2480,144172,0.002,10,3.83,Failure,direct-question-06.md
llama-3.3-70b,158.03,75686,6210,81896,0.004,5,1196.34,Success,direct-question-06.md
llama-4-maverick-400B,169.38,153637,16380,170017,0.033,10,195.83,Failure,direct-question-06.md
llama-4-scout-109B,43.86,151964,1707,153671,0.013,10,1.12,Failure,direct-question-06.md
gpt-4.1,118.11,77172,8420,85592,0.222,5,64.48,Success,direct-question-07.md
gpt-5,155.26,13876,5431,19307,0.072,1,48.76,Success,direct-question-07.md
gpt-5-mini,117.54,29672,9754,39426,0.027,2,51.64,Success,direct-question-07.md
gpt-5-nano,76.68,29534,16378,45912,0.008,2,56.06,Success,direct-question-07.md
gpt-4o,73.15,89290,6389,95679,0.287,6,204.55,Success,direct-question-07.md
o4-mini,109.36,30911,11627,42538,0.085,2,18.18,Success,direct-question-07.md
gpt-oss-120b,89.25,158373,23614,181987,0.038,10,67.46,Failure,direct-question-07.md
gpt-oss-20b,57.06,59805,7580,67385,0.005,4,9.68,Success,direct-question-07.md
Qwen3-Coder-480B,257.14,154496,14281,168777,0.338,10,127.95,Failure,direct-question-07.md
coder-large,128.51,154394,10745,165139,0.086,10,105.23,Failure,direct-question-07.md
claude-sonnet-4,109.73,53692,6300,59992,0.256,3,59.12,Success,direct-question-07.md
gemini-2.5-flash,78.55,157647,22820,180467,0.104,9,122.72,Success,direct-question-07.md
deepseek-chat-v3-0324,292.56,62094,5361,67455,0.022,4,85.27,Success,direct-question-07.md
llama-3.1-8b,51.31,143154,2964,146118,0.002,10,9.42,Failure,direct-question-07.md
llama-3.3-70b,48.74,43463,2104,45567,0.002,3,26.52,Success,direct-question-07.md
llama-4-maverick-400B,95.35,146418,10550,156968,0.028,10,230.82,Failure,direct-question-07.md
llama-4-scout-109B,89.61,145874,7176,153050,0.014,10,101.27,Failure,direct-question-07.md
gpt-4.1,86.22,30465,4810,35275,0.099,2,68.43,Success,direct-question-08.md
gpt-5,228.83,29628,11437,41065,0.151,2,51.9,Success,direct-question-08.md
gpt-5-mini,192.02,46805,14818,61623,0.041,3,58.33,Success,direct-question-08.md
gpt-5-nano,99.67,30583,24338,54921,0.011,2,56.34,Success,direct-question-08.md
gpt-4o,78.76,90868,7601,98469,0.303,6,88.13,Success,direct-question-08.md
o4-mini,194.56,94616,22866,117482,0.205,6,104.87,Success,direct-question-08.md
gpt-oss-120b,136.8,157349,26251,183600,0.039,10,59.78,Failure,direct-question-08.md
gpt-oss-20b,116.04,150816,20480,171296,0.012,10,31.86,Failure,direct-question-08.md
Qwen3-Coder-480B,328.85,162161,19664,181825,0.364,10,99.71,Failure,direct-question-08.md
coder-large,187.41,162428,16436,178864,0.094,10,110.3,Failure,direct-question-08.md
claude-sonnet-4,125.24,53576,8259,61835,0.285,3,45.07,Success,direct-question-08.md
gemini-2.5-flash,55.43,106092,16878,122970,0.074,6,81.47,Success,direct-question-08.md
deepseek-chat-v3-0324,150.54,30403,3184,33587,0.011,2,54.83,Success,direct-question-08.md
llama-3.1-8b,11.89,139360,0,139360,0.002,10,0.0,Failure,direct-question-08.md
llama-3.3-70b,79.05,74168,4165,78333,0.003,5,83.41,Success,direct-question-08.md
llama-4-maverick-400B,125.55,153942,11605,165547,0.03,10,66.6,Failure,direct-question-08.md
llama-4-scout-109B,343.96,155961,21890,177851,0.019,10,92.45,Failure,direct-question-08.md
gpt-4.1,12.28,13847,556,14403,0.032,1,8.41,Success,direct-question-09.md
gpt-5,93.46,13846,3306,17152,0.05,1,49.01,Success,direct-question-09.md
gpt-5-mini,32.98,13846,2232,16078,0.008,1,38.74,Success,direct-question-09.md
gpt-5-nano,44.91,28293,9830,38123,0.005,2,17.28,Success,direct-question-09.md
gpt-4o,11.13,13847,579,14426,0.04,1,36.58,Success,direct-question-09.md
o4-mini,15.71,13846,1578,15424,0.022,1,36.66,Success,direct-question-09.md
gpt-oss-120b,5.08,13907,1105,15012,0.003,1,10.23,Success,direct-question-09.md
gpt-oss-20b,10.95,13907,1259,15166,0.001,1,8.61,Success,direct-question-09.md
Qwen3-Coder-480B,16.81,28812,1081,29893,0.06,2,17.7,Success,direct-question-09.md
coder-large,7.38,14194,579,14773,0.008,1,35.72,Success,direct-question-09.md
claude-sonnet-4,17.13,16046,803,16849,0.06,1,36.56,Success,direct-question-09.md
gemini-2.5-flash,2.73,15144,639,15783,0.006,1,8.73,Success,direct-question-09.md
deepseek-chat-v3-0324,50.9,14250,495,14745,0.004,1,8.5,Success,direct-question-09.md
llama-3.1-8b,12.19,138920,0,138920,0.002,10,0.0,Failure,direct-question-09.md
llama-3.3-70b,11.24,13863,450,14313,0.001,1,35.79,Success,direct-question-09.md
llama-4-maverick-400B,24.72,13708,454,14162,0.002,1,8.71,Success,direct-question-09.md
llama-4-scout-109B,67.06,144290,5382,149672,0.013,10,88.87,Failure,direct-question-09.md
gpt-4.1,12.68,13854,734,14588,0.034,1,35.9,Success,direct-question-10.md
gpt-5,50.68,13853,3153,17006,0.049,1,42.48,Success,direct-question-10.md
gpt-5-mini,42.84,13853,2994,16847,0.009,1,35.45,Success,direct-question-10.md
gpt-5-nano,52.67,29010,11812,40822,0.006,2,42.39,Success,direct-question-10.md
gpt-4o,19.49,28697,1231,29928,0.084,2,46.08,Success,direct-question-10.md
o4-mini,64.39,43650,7131,50781,0.079,3,83.52,Success,direct-question-10.md
gpt-oss-120b,10.02,13914,1299,15213,0.003,1,41.56,Success,direct-question-10.md
gpt-oss-20b,12.76,13914,1655,15569,0.001,1,35.98,Success,direct-question-10.md
Qwen3-Coder-480B,22.5,29000,1460,30460,0.061,2,43.2,Success,direct-question-10.md
coder-large,27.38,44836,2254,47090,0.024,3,97.7,Success,direct-question-10.md
claude-sonnet-4,19.0,16053,864,16917,0.061,1,35.69,Success,direct-question-10.md
gemini-2.5-flash,7.32,31649,1807,33456,0.014,2,44.27,Success,direct-question-10.md
deepseek-chat-v3-0324,54.43,29088,1204,30292,0.009,2,43.34,Success,direct-question-10.md
llama-3.1-8b,147.37,145486,7380,152866,0.002,10,54.86,Failure,direct-question-10.md
llama-3.3-70b,37.81,28165,1099,29264,0.001,2,38.91,Success,direct-question-10.md
llama-4-maverick-400B,76.99,148044,6045,154089,0.026,10,74.96,Failure,direct-question-10.md
llama-4-scout-109B,279.56,156696,16717,173413,0.018,10,5.83,Failure,direct-question-10.md
gpt-4.1,15.04,13854,697,14551,0.033,1,10.41,Success,direct-question-11.md
gpt-5,40.81,13853,3361,17214,0.051,1,14.14,Success,direct-question-11.md
gpt-5-mini,37.17,13853,2093,15946,0.008,1,41.16,Success,direct-question-11.md
gpt-5-nano,82.29,43516,14795,58311,0.008,3,77.99,Success,direct-question-11.md
gpt-4o,39.61,87711,3667,91378,0.256,6,86.78,Success,direct-question-11.md
o4-mini,22.74,13853,2352,16205,0.026,1,9.03,Success,direct-question-11.md
gpt-oss-120b,8.1,13914,1159,15073,0.003,1,42.8,Success,direct-question-11.md
gpt-oss-20b,18.19,28857,2960,31817,0.002,2,53.83,Success,direct-question-11.md
Qwen3-Coder-480B,11.13,14180,647,14827,0.03,1,8.55,Success,direct-question-11.md
coder-large,9.13,14201,688,14889,0.008,1,36.34,Success,direct-question-11.md
claude-sonnet-4,17.42,16055,822,16877,0.06,1,8.72,Success,direct-question-11.md
gemini-2.5-flash,9.62,31639,2025,33664,0.015,2,46.32,Success,direct-question-11.md
deepseek-chat-v3-0324,48.06,29546,1378,30924,0.009,2,49.03,Success,direct-question-11.md
llama-3.1-8b,10.74,138990,0,138990,0.002,10,0.0,Failure,direct-question-11.md
llama-3.3-70b,35.86,28579,1081,29660,0.001,2,17.7,Success,direct-question-11.md
llama-4-maverick-400B,109.46,145758,6890,152648,0.026,10,218.64,Failure,direct-question-11.md
llama-4-scout-109B,82.79,141914,6410,148324,0.013,10,111.97,Failure,direct-question-11.md
gpt-4.1,65.88,59706,4942,64648,0.159,4,46.01,Success,direct-question-12.md
gpt-5,79.65,13855,3723,17578,0.055,1,49.19,Success,direct-question-12.md
gpt-5-mini,106.96,30671,6717,37388,0.021,2,50.07,Success,direct-question-12.md
gpt-5-nano,112.91,44590,24735,69325,0.012,3,76.72,Success,direct-question-12.md
gpt-4o,14.82,29175,1615,30790,0.089,2,17.43,Success,direct-question-12.md
o4-mini,114.29,62277,11619,73896,0.12,4,82.02,Success,direct-question-12.md
gpt-oss-120b,133.52,149642,17320,166962,0.033,10,147.04,Failure,direct-question-12.md
gpt-oss-20b,59.03,103072,13464,116536,0.008,7,87.28,Success,direct-question-12.md
Qwen3-Coder-480B,195.2,150927,9790,160717,0.321,10,73.94,Failure,direct-question-12.md
coder-large,142.26,155474,12147,167621,0.087,10,262.02,Failure,direct-question-12.md
claude-sonnet-4,70.37,50858,4077,54935,0.214,3,63.06,Success,direct-question-12.md
gemini-2.5-flash,4.47,15153,1124,16277,0.007,1,37.06,Success,direct-question-12.md
deepseek-chat-v3-0324,108.04,29803,1878,31681,0.01,2,46.65,Success,direct-question-12.md
llama-3.1-8b,28.93,144111,1336,145447,0.002,10,0.0,Failure,direct-question-12.md
llama-3.3-70b,187.77,147919,7339,155258,0.007,10,314.44,Failure,direct-question-12.md
llama-4-maverick-400B,14.16,27611,1451,29062,0.005,2,83.42,Success,direct-question-12.md
llama-4-scout-109B,13.92,138680,0,138680,0.011,10,0.0,Failure,direct-question-12.md
gpt-4.1,14.32,13853,566,14419,0.032,1,35.86,Success,direct-question-13.md
gpt-5,49.49,13852,2906,16758,0.046,1,45.82,Success,direct-question-13.md
gpt-5-mini,39.92,13852,2699,16551,0.009,1,8.81,Success,direct-question-13.md
gpt-5-nano,60.88,42847,12419,55266,0.007,3,26.28,Success,direct-question-13.md
gpt-4o,5.73,13853,509,14362,0.04,1,8.77,Success,direct-question-13.md
o4-mini,30.62,28410,3074,31484,0.045,2,18.13,Success,direct-question-13.md
gpt-oss-120b,109.09,148288,12468,160756,0.03,10,48479.36,Failure,direct-question-13.md
gpt-oss-20b,105.83,147152,16019,163171,0.011,10,56.66,Failure,direct-question-13.md
Qwen3-Coder-480B,15.49,14178,608,14786,0.03,1,11.45,Success,direct-question-13.md
coder-large,8.1,14199,626,14825,0.008,1,37.72,Success,direct-question-13.md
claude-sonnet-4,19.71,16053,930,16983,0.062,1,37.63,Success,direct-question-13.md
gemini-2.5-flash,3.51,15151,663,15814,0.006,1,10.0,Success,direct-question-13.md
deepseek-chat-v3-0324,36.66,14263,560,14823,0.004,1,11.47,Success,direct-question-13.md
llama-3.1-8b,11.84,138980,0,138980,0.002,10,0.0,Failure,direct-question-13.md
llama-3.3-70b,46.57,43128,1837,44965,0.002,3,60.08,Success,direct-question-13.md
llama-4-maverick-400B,16.11,28427,1200,29627,0.005,2,52.17,Success,direct-question-13.md
llama-4-scout-109B,33.94,56304,2364,58668,0.005,4,31.55,Success,direct-question-13.md
gpt-4.1,26.92,13855,1041,14896,0.036,1,43.2,Success,direct-question-14.md
gpt-5,59.41,13854,3432,17286,0.052,1,40.6,Success,direct-question-14.md
gpt-5-mini,84.05,13854,4110,17964,0.012,1,42.16,Success,direct-question-14.md
gpt-5-nano,153.43,75028,31222,106250,0.016,5,134.29,Success,direct-question-14.md
gpt-4o,76.07,43840,2430,46270,0.134,3,60.88,Success,direct-question-14.md
o4-mini,54.11,13854,4539,18393,0.035,1,10.65,Success,direct-question-14.md
gpt-oss-120b,29.47,29241,3362,32603,0.006,2,20.75,Success,direct-question-14.md
gpt-oss-20b,87.67,86432,10459,96891,0.006,6,11.97,Success,direct-question-14.md
Qwen3-Coder-480B,18.32,14181,863,15044,0.03,1,37.9,Success,direct-question-14.md
coder-large,105.88,151826,8570,160396,0.083,10,100.01,Failure,direct-question-14.md
claude-sonnet-4,22.49,16055,1134,17189,0.065,1,42.54,Success,direct-question-14.md
gemini-2.5-flash,4.77,15153,1006,16159,0.007,1,37.94,Success,direct-question-14.md
deepseek-chat-v3-0324,387.92,152798,8327,161125,0.05,10,130.9,Failure,direct-question-14.md
llama-3.1-8b,122.3,145057,6481,151538,0.002,10,48.94,Failure,direct-question-14.md
llama-3.3-70b,34.41,28804,1485,30289,0.001,2,70.75,Success,direct-question-14.md
llama-4-maverick-400B,89.58,131554,6925,138479,0.024,9,122.15,Success,direct-question-14.md
llama-4-scout-109B,132.23,142930,7186,150116,0.014,10,161.48,Failure,direct-question-14.md
