Model,Time,PromptTokens,CompletionTokens,TotalTokens,EstimatedCost,Attempts,CodeTime,Result,source_file
deepseek-chat-v3-0324,244.08,43456,5755,49211,0.017,11,65.51,Failure,plan-question-05.md
llama-3.1-8b,63.89,33565,4547,38112,0.001,7,17.58,Failure,plan-question-05.md
llama-3.3-70b,87.32,34029,3770,37799,0.002,7,54.5,Failure,plan-question-05.md
llama-4-maverick-400B,31.16,19964,2681,22645,0.005,6,23.33,Success,plan-question-05.md
llama-4-scout-109B,11.75,11691,322,12013,0.001,6,0.0,Failure,plan-question-05.md
gpt-4.1,88.02,26456,4538,30994,0.089,6,118.34,Success,plan-question-06.md
gpt-5,434.08,33636,20567,54203,0.248,7,128.77,Success,plan-question-06.md
gpt-5-mini,152.15,18991,13721,32712,0.032,5,97.51,Success,plan-question-06.md
gpt-5-nano,184.9,40941,41247,82188,0.019,10,134.0,Success,plan-question-06.md
gpt-4o,62.65,34649,6356,41005,0.15,7,26.24,Failure,plan-question-06.md
o4-mini,118.28,26640,16523,43163,0.102,6,119.43,Success,plan-question-06.md
gpt-oss-120b,64.13,58678,16086,74764,0.018,9,843.79,Failure,plan-question-06.md
gpt-oss-20b,69.14,34118,10802,44920,0.004,7,8.75,Failure,plan-question-06.md
Qwen3-Coder-480B,150.54,68137,9295,77432,0.155,11,100.49,Success,plan-question-06.md
coder-large,354.84,71310,32496,103806,0.062,11,86.86,Failure,plan-question-06.md
claude-sonnet-4,84.27,30093,5093,35186,0.167,6,85.47,Success,plan-question-06.md
gemini-2.5-flash,109.79,61738,24473,86211,0.08,8,154.88,Failure,plan-question-06.md
deepseek-chat-v3-0324,160.84,34829,5483,40312,0.015,7,78.79,Success,plan-question-06.md
llama-3.1-8b,130.71,33375,5375,38750,0.001,7,22.53,Failure,plan-question-06.md
llama-3.3-70b,119.99,34891,6280,41171,0.002,7,39.35,Failure,plan-question-06.md
llama-4-maverick-400B,158.64,63850,16028,79878,0.019,10,77.09,Failure,plan-question-06.md
llama-4-scout-109B,66.46,34282,4951,39233,0.004,7,55.05,Failure,plan-question-06.md
gpt-4.1,57.95,18181,3367,21548,0.063,5,56.97,Success,plan-question-07.md
gpt-5,192.75,18350,11865,30215,0.142,5,50.83,Success,plan-question-07.md
gpt-5-mini,142.45,18743,10144,28887,0.025,5,50.22,Success,plan-question-07.md
gpt-5-nano,182.19,39139,40120,79259,0.018,9,61.58,Failure,plan-question-07.md
gpt-4o,78.26,45787,5758,51545,0.172,9,86.01,Success,plan-question-07.md
o4-mini,71.65,18150,9262,27412,0.061,5,22.47,Success,plan-question-07.md
gpt-oss-120b,102.1,55303,14187,69490,0.017,8,55.77,Failure,plan-question-07.md
gpt-oss-20b,63.78,53128,13660,66788,0.005,8,62.02,Failure,plan-question-07.md
Qwen3-Coder-480B,44.21,18453,2847,21300,0.043,5,56.75,Success,plan-question-07.md
coder-large,63.72,41830,5667,47497,0.025,9,60.27,Success,plan-question-07.md
claude-sonnet-4,75.0,30569,4370,34939,0.157,6,60.28,Success,plan-question-07.md
gemini-2.5-flash,69.1,68062,16835,84897,0.063,9,55.76,Failure,plan-question-07.md
deepseek-chat-v3-0324,112.91,22600,3236,25836,0.009,7,57.66,Success,plan-question-07.md
llama-3.1-8b,68.38,32334,3180,35514,0.001,7,3.89,Failure,plan-question-07.md
llama-3.3-70b,94.84,34525,4884,39409,0.002,7,33.08,Failure,plan-question-07.md
llama-4-maverick-400B,45.93,28424,3717,32141,0.006,7,64.18,Success,plan-question-07.md
llama-4-scout-109B,68.93,32260,4370,36630,0.004,7,4.05,Failure,plan-question-07.md
gpt-4.1,156.92,47334,8858,56192,0.166,8,36.72,Success,plan-question-08.md
gpt-5,315.18,28325,19336,47661,0.229,6,55.97,Success,plan-question-08.md
gpt-5-mini,395.01,66587,32533,99120,0.082,9,73.07,Failure,plan-question-08.md
gpt-5-nano,157.38,48225,36772,84997,0.017,9,96.91,Success,plan-question-08.md
gpt-4o,41.91,34860,4538,39398,0.133,7,35.42,Failure,plan-question-08.md
o4-mini,170.28,27903,20913,48816,0.123,7,87.93,Success,plan-question-08.md
gpt-oss-120b,62.1,35168,9841,45009,0.011,7,24.47,Failure,plan-question-08.md
gpt-oss-20b,78.18,36213,12302,48515,0.004,7,44.93,Failure,plan-question-08.md
Qwen3-Coder-480B,84.62,28366,5123,33489,0.067,6,56.81,Success,plan-question-08.md
coder-large,52.64,35622,4678,40300,0.022,7,36.46,Failure,plan-question-08.md
claude-sonnet-4,107.36,47457,5636,53093,0.227,8,30.88,Success,plan-question-08.md
gemini-2.5-flash,76.01,70803,19578,90381,0.07,9,67.42,Failure,plan-question-08.md
deepseek-chat-v3-0324,335.93,54089,7311,61400,0.022,8,68.17,Failure,plan-question-08.md
llama-3.1-8b,89.48,33458,5192,38650,0.001,7,3.75,Failure,plan-question-08.md
llama-3.3-70b,188.38,63021,7318,70339,0.003,10,81.18,Failure,plan-question-08.md
llama-4-maverick-400B,69.01,35686,7462,43148,0.01,7,6.99,Failure,plan-question-08.md
llama-4-scout-109B,10.37,30629,708,31337,0.003,7,0.0,Failure,plan-question-08.md
